Address,Company DUNS#,Corporate Name,Employees On Site,Latitude,Longitude,NAICS1,NAICS1Name,NAICS2,NAICS2Name,Point of Contact,Public/Private,SIC1,SIC1Name,SIC2,SIC2Name,Sales Volume,Telephone,Title,Total Employees,Tradestyle Name,Year Started
"3480 Taylorsville Hwy, Statesville NC 28625",15-205-7683,3a Composites USA Inc,125,35.8080566,-80.9450138,331313,Alumina Refining and Primary Aluminum Production ,322299,All Other Converted Paper Product Manufacturing ,Restricted,Private,33340000,Primary aluminum,26799903,"Paper products, converted, nec","$421,398,613",Restricted,Restricted,"1,341",,1978
"4600 W Camelback Rd, Glendale AZ 85301",18-259-4960,Total Transit  Inc,165,33.5097746,-112.1589961,485310,Taxi Service ,,,Restricted,Private,41210000,Taxicabs,,,"$49,731,901",Restricted,Restricted,450,Discount Cab,1984
"11660 Brittmoore Park Dr, Houston TX 77041",00-806-5641,G & H Diversified Mfg  LP,77,29.848478,-95.58315,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",332312,Fabricated Structural Metal Manufacturing ,Restricted,Private,35440100,Special dies and tools,34410000,Fabricated structural metal,"$99,754,949",Restricted,Restricted,400,,1958
"US Hwy 27 N, Lake Wales FL 33853",08-878-2776,Hickory Branch Corporation,13,27.8942146,-81.5997129,111310,Orange Groves,,,Restricted,Private,01749904,Orange grove,,,"$1,202,819",Restricted,Restricted,25,,1978
"3401 Aero Jet Ave, El Monte CA 91731",04-928-2908,George Fischer  Inc,46,34.069997,-118.0693774,333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,Restricted,Private,35999906,Electrical discharge machining (EDM),50740302,"Pipes and fittings, plastic","$216,079,568",Restricted,Restricted,"1,000",,1954
"160 S Industrial Blvd, Calhoun GA 30701",12-093-0102,Aladdin Manufacturing Corp,55,34.4724813,-84.9434654,314110,Carpet and Rug Mills,,,Restricted,Public,22739902,Finishers of tufted carpets and rugs,,,"$2,884,426,553",Restricted,Restricted,"17,000",Mohawk,1981
"8770 W Bryn Mawr Ave, Chicago IL 60631",08-041-0539,Ardagh,42,41.9830797,-87.845383,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,,,Restricted,Private,51999918,Packaging materials,,,"$429,240,145",Restricted,Restricted,316,,2018
"207 Mockingbird Ln Ste 10, Johnson City TN 37604",03-790-5247,Nn  Inc,6,36.3355192,-82.3750644,332991,Ball and Roller Bearing Manufacturing,,,Restricted,Public,35629901,Ball bearings and parts,,,"$619,793,000",Restricted,Restricted,"4,730",,1980
"17926 SW 75th Ave, Archer FL 32618",08-008-8537,Buzzn Bee Farms  Inc,5,29.586931,-82.532877,112910,Apiculture,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers ",Restricted,Private,02799901,Apiary (bee and honey farm),51930202,Nursery stock,"$500,000",Restricted,Restricted,10,,1981
"7549 Graber Rd, Middleton WI 53562",09-855-0437,Springs Window Fashions  LLC,800,43.1162759,-89.5079753,337920,Blind and Shade Manufacturing,,,Restricted,Private,25910201,Blinds vertical,,,"$1,652,310,772",Restricted,Restricted,"5,183",,1939
"11 Timberglen Dr, Imperial PA 15126",60-952-6371,Maronda Systems Inc Florida,2,40.4415661,-80.2221236,321214,Truss Manufacturing ,,,Restricted,Private,24399904,"Trusses, wooden roof",,,"$37,374,391",Restricted,Restricted,275,,1988
